index,area,ave0,ave1,ave2,int0,int1,int2,std0,std1,std2,sort
0_0,473,-0.00135149,0.0288639,0,-0.639256,13.6526,0,0.081993,0.0272076,0,0
0_1,248,0.0301937,0.0221785,0,7.48803,5.50027,0,0.100477,0.0293871,0,0
0_2,122,0.0349894,0.0323654,0,4.2687,3.94858,0,0.0813188,0.0312162,0,0
0_3,350,0.00929306,0.0382747,0,3.25257,13.3961,0,0.0840589,0.0319132,0,0
0_4,114,0.0223402,0.0237279,0,2.54678,2.70498,0,0.0733736,0.0293736,0,0
0_5,236,0.0564884,0.0121425,0,13.3313,2.86564,0,0.120486,0.0343573,0,0
0_6,727,-0.00635935,0.0263606,0,-4.62325,19.1641,0,0.0854142,0.0342881,0,0
0_7,67,0.00551264,0.0184582,0,0.369347,1.2367,0,0.0802663,0.0268579,0,0
0_8,816,0.00851704,0.0303839,0,6.94991,24.7932,0,0.0916542,0.0415596,0,0
0_9,310,0.0270543,0.0315282,0,8.38682,9.77374,0,0.0896243,0.0318572,0,0
0_10,95,-0.00193303,0.0248517,0,-0.183638,2.36091,0,0.085135,0.0273409,0,0
0_11,354,0.0306074,0.019731,0,10.835,6.98476,0,0.0982472,0.0287544,0,0
0_12,575,-0.00207853,0.0102164,0,-1.19515,5.87442,0,0.0874892,0.0264723,0,0
0_13,145,0.0164701,0.0163118,0,2.38816,2.36521,0,0.0701486,0.0269604,0,0
0_14,180,0.0215049,0.0272317,0,3.87088,4.90171,0,0.0878931,0.0316151,0,0
0_15,135,0.0583341,0.0230571,0,7.87511,3.11271,0,0.0790053,0.0286283,0,0
0_16,44,-0.00206316,0.0118384,0,-0.0907791,0.520888,0,0.0708545,0.0222995,0,0
0_17,170,0.044885,0.0124353,0,7.63046,2.11401,0,0.0802004,0.0273064,0,0
0_18,265,0.0186301,0.0234153,0,4.93698,6.20506,0,0.0793697,0.0254603,0,0
0_19,414,0.0350749,0.0189267,0,14.521,7.83567,0,0.109356,0.035886,0,0
0_20,488,0.00716601,0.00992126,0,3.49701,4.84157,0,0.109591,0.0314099,0,0
0_21,76,-0.02868,0.0199732,0,-2.17968,1.51797,0,0.0757708,0.0288422,0,0
0_22,73,0.0835298,0.00967191,0,6.09767,0.706049,0,0.127276,0.0356885,0,0
0_23,238,0.041537,0.0200123,0,9.88581,4.76292,0,0.0947147,0.0309275,0,0
0_24,543,-0.0079911,0.0195886,0,-4.33917,10.6366,0,0.0909079,0.032429,0,0
0_25,2806,-0.00213087,0.00909217,0,-5.97922,25.5126,0,0.0802802,0.0279032,0,0
0_26,0,0,0,0,0,0,0,0,0,0,0
0_27,729,0.0165389,0.0210007,0,12.0568,15.3095,0,0.0874294,0.0323267,0,0
0_28,99,0.0283609,0.0124333,0,2.80773,1.2309,0,0.0792872,0.0260734,0,0
0_29,215,0.036265,0.0348824,0,7.79698,7.49972,0,0.0915631,0.0346941,0,0
0_30,0,0,0,0,0,0,0,0,0,0,0
0_31,31,-0.00296815,0.0196739,0,-0.0920126,0.609891,0,0.0862665,0.0273974,0,0
0_32,85,0.00649886,0.0232034,0,0.552403,1.97229,0,0.0901623,0.0243084,0,0
0_33,266,0.0487051,0.019097,0,12.9556,5.07981,0,0.0937007,0.0295006,0,0
0_34,94,0.0224445,0.0150015,0,2.10978,1.41014,0,0.0816268,0.0271802,0,0
0_35,189,0.0494159,0.0151724,0,9.3396,2.86759,0,0.0754705,0.0240899,0,0
0_36,627,0.00459092,0.0255828,0,2.87851,16.0404,0,0.0828715,0.0279569,0,0
0_37,170,0.017231,0.0309788,0,2.92927,5.26639,0,0.101054,0.0310283,0,0
0_38,298,-0.00066657,0.0144985,0,-0.198638,4.32056,0,0.0692448,0.0234465,0,0
0_39,439,0.00437534,0.0142273,0,1.92077,6.2458,0,0.0803481,0.0279256,0,0
0_40,1100,0.011859,0.0208553,0,13.0449,22.9409,0,0.101642,0.0324676,0,0
0_41,274,-0.000852691,0.0289595,0,-0.233637,7.9349,0,0.0847699,0.0293806,0,0
0_42,690,0.0276439,0.0171363,0,19.0743,11.824,0,0.101546,0.0291001,0,0
0_43,141,0.0194858,0.0176439,0,2.7475,2.48779,0,0.0925444,0.0318167,0,0
0_44,133,0.0508051,0.0172906,0,6.75707,2.29965,0,0.0899329,0.0325073,0,0
0_45,0,0,0,0,0,0,0,0,0,0,0
0_46,76,-0.0113155,0.0196642,0,-0.859976,1.49448,0,0.0638213,0.0261225,0,0
0_47,191,0.0220215,0.0229654,0,4.20611,4.38639,0,0.0845518,0.028747,0,0
0_48,377,0.020163,0.0269198,0,7.60145,10.1488,0,0.0849054,0.0292929,0,0
0_49,142,0.0126825,0.02468,0,1.80091,3.50455,0,0.0804107,0.0285996,0,0
0_50,60,0.0191862,0.0220728,0,1.15117,1.32437,0,0.083681,0.0272059,0,0
0_51,126,0.0245757,0.015179,0,3.09654,1.91256,0,0.0844904,0.0278072,0,0
0_52,122,0.0163559,0.0207431,0,1.99542,2.53066,0,0.0903326,0.0280112,0,0
