index,area,ave0,ave1,ave2,int0,int1,int2,std0,std1,std2,sort
0_0,995,0.0731277,-0.277548,0.150905,72.7621,-276.16,150.151,0.15725,0.297866,0.209258,1
0_1,0,0,0,0,0,0,0,0,0,0,0
0_2,870,0.19456,-0.33868,0.0826726,169.267,-294.652,71.9251,0.248353,0.461166,0.226479,0
0_3,619,0.038451,-0.0549385,0.023352,23.8011,-34.0069,14.4549,0.0520735,0.142996,0.0576813,0
0_4,913,0.0962626,-0.132184,0.0534294,87.8877,-120.684,48.781,0.139306,0.264846,0.123407,0
0_5,253,0.148606,-0.324822,0.0913996,37.5972,-82.1799,23.1241,0.219176,0.400646,0.205799,0
0_6,662,0.0562819,-0.108169,0.0818183,37.2586,-71.608,54.1637,0.133514,0.28402,0.175252,1
0_7,183,0.158856,-0.230418,0.0150369,29.0706,-42.1665,2.75175,0.268459,0.399843,0.205922,0
0_8,609,0.154546,-0.159709,0.0346866,94.1184,-97.2627,21.1241,0.258801,0.401299,0.219302,0
0_9,485,0.103301,-0.295908,0.121362,50.1009,-143.515,58.8608,0.184846,0.357828,0.238105,0
0_10,514,0.0712333,-0.199007,0.0796932,36.6139,-102.29,40.9623,0.185772,0.322399,0.196329,0
0_11,322,0.0510233,0.0558966,-0.0480225,16.4295,17.9987,-15.4632,0.048412,0.221619,0.120043,0
0_12,0,0,0,0,0,0,0,0,0,0,0
0_13,570,0.177127,-0.289824,0.0785462,100.963,-165.2,44.7713,0.232262,0.404761,0.23459,0
0_14,606,0.17481,-0.252682,0.0741914,105.935,-153.125,44.96,0.238639,0.396147,0.217807,0
0_15,611,0.0146699,-0.0379942,0.0567858,8.96328,-23.2145,34.6961,0.0463513,0.133795,0.0918948,1
0_16,708,0.06065,-0.174431,0.105926,42.9402,-123.497,74.9953,0.147294,0.316947,0.218572,1
0_17,516,0.119448,-0.301793,0.107324,61.6354,-155.725,55.3792,0.250038,0.497991,0.268263,0
