index,area,perimeter,min_xpos,min_ypos,max_xpos,max_ypos,center_x,center_y,integral_CH0,min_CH0,max_CH0,ave_CH0,std_CH0,integral_CH1,min_CH1,max_CH1,ave_CH1,std_CH1,integral_CH2,min_CH2,max_CH2,ave_CH2,std_CH2,integral_CH3,min_CH3,max_CH3,ave_CH3,std_CH3,integral_CH4,min_CH4,max_CH4,ave_CH4,std_CH4,integral_CH1-CH0,min_CH1-CH0,max_CH1-CH0,ave_CH1-CH0,std_CH1-CH0,integral_CH2-CH0,min_CH2-CH0,max_CH2-CH0,ave_CH2-CH0,std_CH2-CH0,integral_CH3-CH0,min_CH3-CH0,max_CH3-CH0,ave_CH3-CH0,std_CH3-CH0,integral_CH4-CH0,min_CH4-CH0,max_CH4-CH0,ave_CH4-CH0,std_CH4-CH0,integral_Est0,min_Est0,max_Est0,ave_Est0,std_Est0,integral_Est1,min_Est1,max_Est1,ave_Est1,std_Est1,id,count,frequency,sort_timestamp,sort,n_sample,n_sort,sort_rate,proc_time,proc_idc,id,abs_time,1st_img,2nd_img,3rd_img,data_ready,proc_begin,proc_time,none,sort,result0,result1,result2,result3,result4
0_0,173,60,45,10,64,28,52,17,3280,0,43,16.3184,11.7392,2741,0,34,13.6368,8.71965,3194,0,36,15.8905,9.13459,4235,0,49,21.0697,11.734,3357,0,40,16.7015,10.1761,128,0,6,0.636816,1.22269,390,0,9,1.9403,2.87837,956,0,13,4.75622,3.10437,272,0,6,1.35323,1.88991,67.7494,-0.304411,1,0.337061,0.244043,-2.81908,-0.473743,0.439343,-0.0140253,0.128797,19965,300000,50000000,3227183136,0,1,0,0.00,4955,--,19965,-121,0,0,0,0,468,4955,,0,166,0.291691,0.052124,48.4207,8.65259
0_1,257,74,45,9,67,28,54,16,4469,0,55,15.3574,11.0062,3562,0,40,12.2405,7.94811,4004,0,42,13.7595,8.29797,5568,0,56,19.134,10.9195,4394,0,48,15.0997,9.36692,114,0,6,0.391753,0.947669,418,0,11,1.43643,2.58037,1103,0,11,3.79038,3.35434,302,0,7,1.0378,1.71368,73.958,-0.0733279,0.918556,0.254151,0.209479,-0.24315,-0.376085,0.398332,-0.000835568,0.112487,19966,300000,50000000,3227451472,0,2,0,0.00,5247,--,19966,5301,0,0,0,0,368,5247,,0,241,0.225731,0.0299867,54.4011,7.2268
0_2,219,69,46,8,63,29,52,18,3873,0,38,15.369,9.97192,3373,0,30,13.3849,7.62974,3948,0,33,15.6667,8.19456,5218,0,43,20.7063,10.2849,4107,0,36,16.2976,8.89727,136,0,7,0.539683,1.13844,516,0,9,2.04762,2.62877,1345,0,12,5.3373,2.96027,388,0,6,1.53968,1.78241,71.0106,-0.0878224,0.783731,0.281788,0.197485,-6.11954,-0.40928,0.498521,-0.0242839,0.127564,19968,300000,50000000,3227473203,0,3,0,0.00,5747,--,19968,10817,0,0,0,0,462,5747,,0,175,0.21546,0.0232937,37.7055,4.07639
0_3,196,59,46,10,64,28,53,18,3565,0,36,15.9152,10.7445,3041,0,30,13.5759,8.27559,3526,0,33,15.7411,8.7201,4684,0,42,20.9107,10.9394,3708,0,34,16.5536,9.52988,92,0,5,0.410714,0.959479,412,0,9,1.83929,2.48047,1119,0,11,4.99554,2.97834,313,0,6,1.39732,1.71865,90.8873,-0.0962045,0.95657,0.405747,0.271501,-5.04458,-0.455509,0.391324,-0.0225205,0.154183,19970,300000,50000000,3228191663,0,4,0,0.00,2702,--,19970,18817,0,0,0,0,328,2702,,0,188,0.348226,0.0607587,65.4665,11.4226
0_4,214,66,46,9,65,29,53,18,3865,0,37,15.7755,10.5546,3341,0,29,13.6367,8.00272,3940,0,33,16.0816,8.58484,5209,0,43,21.2612,10.8615,4079,0,36,16.649,9.34723,133,0,6,0.542857,1.09321,518,0,8,2.11429,2.63942,1344,0,14,5.48571,3.07007,379,0,6,1.54694,1.79422,96.3694,-0.226383,1,0.393345,0.243047,-13.661,-0.593206,0.529528,-0.055759,0.145312,19971,269452,50000000,3228257973,0,5,0,0.00,2339,--,19971,25270,0,0,0,0,231,2339,,0,195,0.348035,0.0566481,67.8669,11.0464
0_5,204,73,96,10,113,29,102,18,3905,0,42,16.4076,10.7076,3357,0,32,14.105,7.94317,3844,0,34,16.1513,8.3103,5165,0,47,21.7017,11.0567,4058,0,38,17.0504,9.37129,148,0,6,0.621849,1.31246,437,0,9,1.83613,2.42762,1260,0,14,5.29412,2.9473,342,0,6,1.43697,1.73757,66.779,-0.211298,1,0.280584,0.232793,-2.81761,-0.49318,0.437079,-0.0118387,0.151227,19973,300000,50000000,3228641055,0,6,0,0.00,2399,--,19973,30177,0,0,0,0,268,2399,,0,182,0.279314,0.0352798,50.8352,6.42092
0_6,2645,276,6,6,122,30,63,17,17969,0,23,6.45438,5.27451,21002,1,24,7.54382,5.35663,27088,2,26,9.72989,5.28983,32618,4,31,11.7162,6.22546,24661,3,25,8.85812,5.46399,3422,0,8,1.22917,1.19743,9140,0,10,3.28305,1.56848,14649,0,12,5.26185,1.94428,6692,0,7,2.40374,1.00577,465.866,-0.277807,1,0.167337,0.217084,-73.2837,-0.546286,0.584574,-0.0263232,0.133423,19975,300000,50000000,3228807305,0,7,0,0.00,2421,--,19975,33482,0,0,0,0,299,2421,,1,2783,0.142798,0.0613053,397.406,170.613
0_7,229,65,47,8,66,28,55,18,4076,0,37,15.6769,10.6097,3520,0,29,13.5385,8.00015,4064,0,32,15.6308,8.64482,5387,0,42,20.7192,10.7808,4259,0,34,16.3808,9.34865,142,0,6,0.546154,1.14765,494,0,9,1.9,2.60133,1311,0,12,5.04231,3.10987,381,0,6,1.46538,1.80244,92.4599,-0.212455,1,0.355615,0.240294,-3.13457,-0.456873,0.552999,-0.0120561,0.150253,19979,300000,50000000,3229435612,0,8,0,0.00,2485,--,19979,44757,0,0,0,0,264,2485,,0,183,0.347277,0.0580435,63.5517,10.622
0_8,198,69,48,10,66,30,55,18,3632,0,37,15.7913,10.7258,3169,0,30,13.7783,8.02434,3691,0,32,16.0478,8.50332,4884,0,44,21.2348,10.8722,3839,0,36,16.6913,9.33835,174,0,6,0.756522,1.2758,530,0,9,2.30435,2.71765,1252,0,12,5.44348,3.10313,388,0,6,1.68696,1.88525,84.8201,-0.252675,1,0.368783,0.274481,-0.239189,-0.471082,0.515132,-0.00103995,0.161134,19980,300000,50000000,3229478210,0,9,0,0.00,2320,--,19980,50083,0,0,0,0,228,2320,,0,198,0.338582,0.0586605,67.0392,11.6148
0_9,129,47,106,12,120,28,112,18,3639,0,100,24.0993,22.1619,2509,0,63,16.6159,14.0099,2711,0,57,17.9536,13.5965,4252,0,102,28.1589,21.6991,3279,0,80,21.7152,17.6438,44,0,4,0.291391,0.793929,175,0,7,1.15894,2.05904,628,0,15,4.15894,3.85858,147,0,5,0.97351,1.47808,36.3206,-0.0658992,0.907216,0.240534,0.21092,-3.43021,-0.334347,0.176414,-0.0227166,0.105879,19982,300000,50000000,3229956746,0,10,0,0.00,2743,--,19982,59827,0,0,0,0,243,2743,,0,136,0.166849,0.0129875,22.6915,1.7663
