index,area,perimeter,min_xpos,min_ypos,max_xpos,max_ypos,center_x,center_y,integral_CH0,min_CH0,max_CH0,ave_CH0,std_CH0,integral_CH1,min_CH1,max_CH1,ave_CH1,std_CH1,integral_CH2,min_CH2,max_CH2,ave_CH2,std_CH2,integral_CH3,min_CH3,max_CH3,ave_CH3,std_CH3,integral_CH4,min_CH4,max_CH4,ave_CH4,std_CH4,ch0_org_min,ch0_org_max,ch0_org_ave,ch0_org_std,ch1_dif_min,ch1_dif_max,ch1_dif_ave,ch1_dif_std,ch2_dif_min,ch2_dif_max,ch2_dif_ave,ch2_dif_std,ch3_dif_min,ch3_dif_max,ch3_dif_ave,ch3_dif_std,id,count12,frequency,tmu_timestamp,sort,n_total,n_sort,s_rate,proc_time,time_idt,id,abs_time,srs_img,fire1_img,fire2_img,fire3_img,proc_begin,proc_end,ch12_abs_time,id,ch12_cycles,frequency,ch12_timestamp,ch13_abs_time,ch13_cycles,ch13_timestamp,proc_end,sort_validation
0_0,107,47,20,6,41,15,29,10,3856,0,44,29.8915,8.06585,2721,0,32,21.093,5.86732,2767,0,31,21.4496,5.82425,4198,0,49,32.5426,8.32388,3385,0,38,26.2403,6.91563,0,42,7.84645,6.77079,0,15,1.58852,1.93221,0,15,3.26557,1.93824,0,12,4.62541,2.00814,63385,300000,50000000,1016903403,0,1,0,0.00,4771,--,63385,253808912,0,0,0,0,456,4771,-1543226435814404,63380,0,0,0,-1543226435814404,0,0,6432,0
0_1,102,47,18,6,39,15,27,10,3774,0,43,30.4355,7.0816,2632,0,31,21.2258,5.00619,2726,0,30,21.9839,5.24248,4253,0,48,34.2984,7.50804,3341,0,37,26.9435,6.01383,0,41,7.95492,6.80533,0,15,1.77896,1.92823,0,15,3.1806,1.89676,0,11,4.5959,2.15704,63402,300000,50000000,1362279815,0,2,0,0.00,4628,--,63402,260728478,0,0,0,0,396,4628,-1543226435814404,63380,0,0,0,-1543226435814404,0,0,4862,0
0_2,94,44,15,7,35,14,24,10,3509,17,41,30.513,5.7971,2527,10,29,21.9739,4.06996,2611,9,31,22.7043,4.17857,3903,20,48,33.9391,6.23495,3138,14,37,27.287,4.90389,0,40,7.61503,6.42669,0,14,1.61311,1.81163,0,13,3.12596,1.81184,0,12,4.47678,2.17619,63408,300000,50000000,1453671028,0,3,0,0.00,4717,--,63408,262541139,0,0,0,0,400,4717,-1543226435814404,63380,0,0,0,-1543226435814404,0,0,6078,0
0_3,106,47,14,6,35,15,23,10,3787,0,42,29.5859,7.57311,2694,0,31,21.0469,5.39945,2740,0,31,21.4062,5.61727,4224,0,46,33,7.8402,3361,0,36,26.2578,6.46414,0,40,7.8918,6.79427,0,15,1.61885,1.87209,0,16,3.16967,1.9018,0,12,4.58661,2.07875,63411,300000,50000000,1493738325,0,4,0,0.00,4684,--,63411,263413504,0,0,0,0,429,4684,251060625,63380,300000,50000000,875460623,-1543226435814404,0,0,6078,0
0_4,97,44,18,7,39,14,27,9,3650,17,45,30.9322,6.14338,2574,8,32,21.8136,4.50414,2639,7,32,22.3644,4.4715,3939,20,48,33.3814,6.15467,3202,13,39,27.1356,5.17313,0,42,7.73907,6.88913,0,15,1.8,1.88506,0,15,3.30574,1.92601,0,11,4.66967,2.10345,63419,300000,50000000,1663270717,0,5,0,0.00,4693,--,63419,266724825,0,0,0,0,441,4693,251412644,63381,300000,50000000,893060738,-1543226435814404,0,0,4718,0
0_5,109,49,19,6,41,15,29,10,3988,0,45,30.2121,7.44986,2761,0,31,20.9167,4.97881,2820,0,32,21.3636,4.9989,4265,0,47,32.3106,7.28129,3463,0,38,26.2348,6.04636,0,44,7.88005,7.04397,0,17,1.76913,2.0113,0,18,3.29699,1.98217,0,12,4.6235,2.00622,63420,300000,50000000,1666474740,0,6,0,0.00,4712,--,63420,266817570,0,0,0,0,428,4712,252032664,63382,300000,50000000,924062026,-1543226435814404,0,0,4706,0
0_6,105,47,11,6,32,15,20,10,3674,0,41,28.9291,6.78718,2612,0,30,20.5669,4.89028,2707,0,31,21.315,5.28212,4006,0,44,31.5433,6.95175,3244,0,36,25.5433,5.82251,0,40,7.47568,6.39695,0,14,1.60137,1.84342,0,13,3.08033,1.7962,0,13,4.43962,2.06491,63426,300000,50000000,1792814701,0,7,0,0.00,4735,--,63426,269309229,0,0,0,0,445,4735,253178821,63383,300000,50000000,981369240,-1543226435814404,0,0,4755,0
0_7,98,45,7,6,28,14,16,9,3550,0,44,29.8319,6.46428,2577,0,31,21.6555,4.78695,2649,0,32,22.2605,4.88431,3813,0,46,32.042,6.49809,3151,0,38,26.479,5.57583,0,41,7.52022,6.47702,0,14,1.63497,1.75464,0,13,3.06448,1.77881,0,11,4.54836,2.05155,63428,300000,50000000,1799676516,0,8,0,0.00,4658,--,63428,269532823,0,0,0,0,427,4658,253808316,63384,300000,50000000,1012845322,-1543226435814404,0,0,5504,0
0_8,102,45,8,6,28,15,17,10,3694,0,44,30.0325,7.13167,2596,0,32,21.1057,5.22473,2690,0,33,21.8699,5.09736,3989,0,49,32.4309,6.99719,3242,0,38,26.3577,5.98118,0,43,7.68962,6.65479,0,15,1.67377,1.87028,0,15,3.13607,1.83412,0,12,4.56393,1.98478,63429,300000,50000000,1804878781,0,9,0,0.00,6161,--,63429,269545814,0,0,0,0,429,6161,253889513,63385,300000,50000000,1016903403,-1543226435814404,0,0,4771,0
0_9,102,47,12,6,33,15,21,10,3789,0,43,30.5565,7.15643,2648,0,31,21.3548,5.48634,2737,0,31,22.0726,5.53169,4149,0,47,33.4597,7.33133,3331,0,37,26.8629,6.20527,0,42,7.77678,6.77029,0,14,1.76257,1.93336,0,14,3.24699,1.90661,0,12,4.62049,2.07469,63430,300000,50000000,1809904326,0,10,0,0.00,5312,--,63430,269649812,0,0,0,0,417,5312,254187688,63386,300000,50000000,1031812474,-1543226435814404,0,0,4710,0
